Time step:,xu:,x0:,x1:,x2:,x3:,Integral:,%ee:
208,0.435178,0.0164557,0.106765,0.243367,0.198234,1.8118,43.5178
209,0.433441,0.0165841,0.107351,0.244158,0.198465,1.80894,43.3441
210,0.431711,0.0167126,0.107938,0.244946,0.198693,1.80609,43.1711
211,0.429987,0.0168415,0.108523,0.24573,0.198918,1.80326,42.9987
212,0.428271,0.0169705,0.109109,0.246511,0.19914,1.80045,42.8271
213,0.426561,0.0170998,0.109693,0.247288,0.199358,1.79766,42.6561
214,0.424858,0.0172294,0.110278,0.248062,0.199573,1.79488,42.4858
215,0.423162,0.0173591,0.110862,0.248832,0.199785,1.79212,42.3162
216,0.421473,0.0174891,0.111445,0.249599,0.199995,1.78937,42.1473
217,0.41979,0.0176193,0.112028,0.250362,0.200201,1.78665,41.979
218,0.418114,0.0177498,0.11261,0.251122,0.200404,1.78393,41.8114
219,0.416445,0.0178804,0.113191,0.251879,0.200604,1.78124,41.6445
220,0.414783,0.0180113,0.113773,0.252632,0.200801,1.77856,41.4783
221,0.413127,0.0181423,0.114353,0.253382,0.200996,1.7759,41.3127
222,0.411478,0.0182736,0.114933,0.254128,0.201187,1.77325,41.1478
223,0.409835,0.0184051,0.115512,0.254871,0.201376,1.77062,40.9835
224,0.408199,0.0185367,0.116091,0.255611,0.201562,1.768,40.8199
225,0.40657,0.0186686,0.116669,0.256347,0.201745,1.7654,40.657
226,0.404947,0.0188007,0.117247,0.25708,0.201925,1.76282,40.4947
227,0.40333,0.0189329,0.117824,0.25781,0.202103,1.76025,40.333
228,0.40172,0.0190653,0.1184,0.258537,0.202278,1.75769,40.172
229,0.400116,0.0191979,0.118976,0.25926,0.20245,1.75515,40.0116
230,0.398519,0.0193307,0.119551,0.25998,0.202619,1.75263,39.8519
231,0.396928,0.0194637,0.120126,0.260697,0.202786,1.75012,39.6928
232,0.395344,0.0195968,0.120699,0.26141,0.20295,1.74763,39.5344
233,0.393765,0.0197301,0.121272,0.26212,0.203112,1.74515,39.3765
234,0.392193,0.0198636,0.121845,0.262827,0.203271,1.74269,39.2193
235,0.390628,0.0199972,0.122417,0.263531,0.203427,1.74024,39.0628
236,0.389068,0.020131,0.122988,0.264231,0.203581,1.73781,38.9068
237,0.387515,0.0202649,0.123558,0.264929,0.203733,1.73539,38.7515
238,0.385968,0.020399,0.124128,0.265623,0.203882,1.73298,38.5968
239,0.384428,0.0205333,0.124697,0.266314,0.204028,1.73059,38.4428
240,0.382893,0.0206677,0.125265,0.267002,0.204173,1.72821,38.2893
241,0.381364,0.0208022,0.125833,0.267686,0.204314,1.72585,38.1364
242,0.379842,0.0209368,0.126399,0.268368,0.204454,1.7235,37.9842
243,0.378326,0.0210716,0.126965,0.269046,0.204591,1.72117,37.8326
244,0.376815,0.0212066,0.127531,0.269722,0.204725,1.71885,37.6815
245,0.375311,0.0213416,0.128095,0.270394,0.204858,1.71654,37.5311
246,0.373813,0.0214768,0.128659,0.271063,0.204988,1.71425,37.3813
247,0.372321,0.0216121,0.129222,0.271729,0.205116,1.71197,37.2321
248,0.370834,0.0217475,0.129785,0.272392,0.205241,1.70971,37.0834
249,0.369354,0.0218831,0.130346,0.273052,0.205365,1.70746,36.9354
250,0.367879,0.0220187,0.130907,0.273709,0.205486,1.70522,36.7879
251,0.366411,0.0221545,0.131467,0.274363,0.205605,1.70299,36.6411
252,0.364948,0.0222904,0.132026,0.275014,0.205722,1.70078,36.4948
253,0.363491,0.0224264,0.132584,0.275662,0.205836,1.69858,36.3491
254,0.36204,0.0225624,0.133142,0.276307,0.205949,1.6964,36.204
255,0.360595,0.0226986,0.133699,0.276948,0.206059,1.69423,36.0595
256,0.359155,0.0228349,0.134255,0.277587,0.206168,1.69207,35.9155
257,0.357722,0.0229712,0.13481,0.278223,0.206274,1.68992,35.7722
258,0.356294,0.0231077,0.135364,0.278856,0.206378,1.68779,35.6294
259,0.354871,0.0232442,0.135918,0.279486,0.20648,1.68567,35.4871
260,0.353455,0.0233808,0.13647,0.280114,0.206581,1.68356,35.3455
261,0.352044,0.0235175,0.137022,0.280738,0.206679,1.68147,35.2044
262,0.350638,0.0236543,0.137573,0.281359,0.206775,1.67938,35.0638
263,0.349239,0.0237911,0.138123,0.281978,0.20687,1.67731,34.9239
264,0.347844,0.0239281,0.138672,0.282593,0.206962,1.67526,34.7844
265,0.346456,0.0240651,0.139221,0.283206,0.207052,1.67321,34.6456
266,0.345073,0.0242021,0.139768,0.283816,0.207141,1.67118,34.5073
267,0.343695,0.0243392,0.140315,0.284423,0.207228,1.66916,34.3695
268,0.342323,0.0244764,0.14086,0.285027,0.207313,1.66715,34.2323
269,0.340957,0.0246136,0.141405,0.285629,0.207396,1.66515,34.0957
270,0.339596,0.0247509,0.141949,0.286227,0.207477,1.66317,33.9596
271,0.33824,0.0248883,0.142492,0.286823,0.207557,1.66119,33.824
272,0.33689,0.0250256,0.143035,0.287416,0.207634,1.65923,33.689
273,0.335545,0.0251631,0.143576,0.288006,0.20771,1.65728,33.5545
274,0.334205,0.0253005,0.144116,0.288594,0.207784,1.65534,33.4205
275,0.332871,0.0254381,0.144656,0.289178,0.207857,1.65342,33.2871
276,0.331542,0.0255756,0.145194,0.28976,0.207928,1.6515,33.1542
277,0.330219,0.0257132,0.145732,0.290339,0.207997,1.6496,33.0219
278,0.328901,0.0258508,0.146269,0.290916,0.208064,1.64771,32.8901
279,0.327588,0.0259885,0.146804,0.29149,0.20813,1.64583,32.7588
280,0.32628,0.0261261,0.147339,0.292061,0.208194,1.64396,32.628
281,0.324977,0.0262638,0.147873,0.292629,0.208256,1.6421,32.4977
282,0.32368,0.0264015,0.148406,0.293195,0.208317,1.64025,32.368
283,0.322388,0.0265393,0.148938,0.293758,0.208376,1.63842,32.2388
284,0.321101,0.026677,0.149469,0.294319,0.208434,1.63659,32.1101
285,0.319819,0.0268148,0.149999,0.294877,0.20849,1.63478,31.9819
286,0.318542,0.0269526,0.150529,0.295432,0.208545,1.63297,31.8542
287,0.317271,0.0270904,0.151057,0.295984,0.208598,1.63118,31.7271
288,0.316004,0.0272282,0.151584,0.296534,0.208649,1.6294,31.6004
289,0.314743,0.0273659,0.15211,0.297082,0.208699,1.62763,31.4743
290,0.313486,0.0275037,0.152636,0.297627,0.208748,1.62587,31.3486
291,0.312235,0.0276415,0.15316,0.298169,0.208795,1.62412,31.2235
292,0.310988,0.0277793,0.153684,0.298708,0.20884,1.62238,31.0988
293,0.309747,0.0279171,0.154206,0.299246,0.208885,1.62065,30.9747
294,0.30851,0.0280549,0.154727,0.29978,0.208927,1.61893,30.851
295,0.307279,0.0281927,0.155248,0.300312,0.208968,1.61722,30.7279
296,0.306052,0.0283304,0.155767,0.300842,0.209008,1.61552,30.6052
297,0.30483,0.0284681,0.156286,0.301369,0.209047,1.61384,30.483
298,0.303613,0.0286059,0.156803,0.301893,0.209084,1.61216,30.3613
299,0.302401,0.0287436,0.15732,0.302415,0.20912,1.61049,30.2401
300,0.301194,0.0288812,0.157835,0.302935,0.209154,1.60883,30.1194
301,0.299992,0.0290189,0.15835,0.303452,0.209187,1.60718,29.9992
302,0.298794,0.0291565,0.158863,0.303967,0.209219,1.60555,29.8794
303,0.297601,0.0292941,0.159376,0.304479,0.20925,1.60392,29.7601
304,0.296413,0.0294316,0.159887,0.304989,0.209279,1.6023,29.6413
305,0.29523,0.0295692,0.160398,0.305496,0.209307,1.60069,29.523
306,0.294052,0.0297066,0.160907,0.306001,0.209333,1.59909,29.4052
307,0.292878,0.0298441,0.161416,0.306504,0.209359,1.5975,29.2878
308,0.291709,0.0299815,0.161923,0.307004,0.209383,1.59592,29.1709
309,0.290544,0.0301188,0.16243,0.307502,0.209406,1.59435,29.0544
310,0.289384,0.0302562,0.162935,0.307997,0.209427,1.59279,28.9384
311,0.288229,0.0303934,0.163439,0.30849,0.209448,1.59124,28.8229
312,0.287078,0.0305306,0.163943,0.308981,0.209467,1.58969,28.7078
313,0.285932,0.0306678,0.164445,0.30947,0.209485,1.58816,28.5932
314,0.284791,0.0308049,0.164946,0.309956,0.209502,1.58664,28.4791
315,0.283654,0.030942,0.165446,0.310439,0.209518,1.58512,28.3654
316,0.282522,0.031079,0.165946,0.310921,0.209533,1.58361,28.2522
317,0.281394,0.0312159,0.166444,0.3114,0.209546,1.58212,28.1394
318,0.280271,0.0313528,0.166941,0.311877,0.209559,1.58063,28.0271
319,0.279152,0.0314896,0.167437,0.312351,0.20957,1.57915,27.9152
320,0.278037,0.0316263,0.167932,0.312824,0.209581,1.57768,27.8037
321,0.276927,0.031763,0.168426,0.313294,0.20959,1.57622,27.6927
322,0.275822,0.0318996,0.168919,0.313762,0.209598,1.57476,27.5822
323,0.274721,0.0320361,0.169411,0.314227,0.209605,1.57332,27.4721
324,0.273624,0.0321726,0.169902,0.314691,0.209611,1.57188,27.3624
325,0.272532,0.0323089,0.170392,0.315152,0.209616,1.57046,27.2532
326,0.271444,0.0324452,0.17088,0.315611,0.20962,1.56904,27.1444
327,0.27036,0.0325814,0.171368,0.316068,0.209623,1.56763,27.036
328,0.269281,0.0327176,0.171855,0.316522,0.209625,1.56623,26.9281
329,0.268206,0.0328536,0.17234,0.316975,0.209625,1.56483,26.8206
330,0.267135,0.0329896,0.172825,0.317425,0.209625,1.56345,26.7135
331,0.266069,0.0331255,0.173308,0.317873,0.209624,1.56207,26.6069
332,0.265007,0.0332612,0.173791,0.318319,0.209622,1.5607,26.5007
333,0.263949,0.0333969,0.174272,0.318763,0.209619,1.55934,26.3949
334,0.262895,0.0335325,0.174752,0.319205,0.209615,1.55799,26.2895
335,0.261846,0.033668,0.175232,0.319644,0.209611,1.55665,26.1846
336,0.2608,0.0338034,0.17571,0.320082,0.209605,1.55531,26.08
337,0.259759,0.0339387,0.176187,0.320517,0.209598,1.55398,25.9759
338,0.258722,0.0340739,0.176663,0.32095,0.209591,1.55266,25.8722
339,0.257689,0.034209,0.177138,0.321381,0.209582,1.55135,25.7689
340,0.256661,0.034344,0.177612,0.321811,0.209573,1.55005,25.6661
341,0.255636,0.0344789,0.178084,0.322238,0.209563,1.54875,25.5636
342,0.254616,0.0346137,0.178556,0.322663,0.209552,1.54746,25.4616
343,0.253599,0.0347484,0.179027,0.323086,0.20954,1.54618,25.3599
344,0.252587,0.0348829,0.179496,0.323507,0.209527,1.54491,25.2587
345,0.251579,0.0350174,0.179965,0.323926,0.209513,1.54364,25.1579
346,0.250574,0.0351517,0.180432,0.324343,0.209499,1.54239,25.0574
347,0.249574,0.0352859,0.180899,0.324757,0.209484,1.54113,24.9574
348,0.248578,0.03542,0.181364,0.32517,0.209468,1.53989,24.8578
349,0.247585,0.035554,0.181828,0.325581,0.209451,1.53866,24.7585
350,0.246597,0.0356879,0.182291,0.32599,0.209433,1.53743,24.6597
351,0.245613,0.0358216,0.182754,0.326397,0.209415,1.53621,24.5613
352,0.244632,0.0359552,0.183215,0.326802,0.209396,1.53499,24.4632
353,0.243655,0.0360887,0.183674,0.327205,0.209376,1.53379,24.3655
354,0.242683,0.0362221,0.184133,0.327607,0.209355,1.53259,24.2683
355,0.241714,0.0363553,0.184591,0.328006,0.209334,1.5314,24.1714
356,0.240749,0.0364884,0.185048,0.328403,0.209312,1.53021,24.0749
357,0.239788,0.0366214,0.185503,0.328799,0.209289,1.52903,23.9788
